Produkt - Produkt,Kassationsårsag (ui),Stk. tøj per kassationsdato,Dage i cirkulation,Total antal vask,Unik Kode (ui),Måned,Vask per måned,Kategori
11070 Benkl grå/sort m knæ p/b ICON,"Kass. af RETUR,MINIMU,afmeld",1,2596,22,00D0097F4485,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.25796610169491524,Bukser
09481 Benklæder P/B Vask,BTS fejl uden restværdi,1,2595,3,000098483147,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.03519075144508671,Bukser
09691 Skjorte P/B Vask,BTS fejl uden restværdi,1,2595,2,000098483118,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.02346050096339114,Skjorte
01589 T-shirt unisex mblå k/æ,Alm.slid uden restværdi,1,2594,65,00D00988817F,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.7627602158828065,T-shirt
01589 T-shirt unisex mblå k/æ,Alm.slid uden restværdi,1,2594,61,00D009ACD0BC,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.7158211256746339,T-shirt
01589 T-shirt unisex mblå k/æ,Alm.slid uden restværdi,1,2594,60,00D009AFC3A8,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.7040863531225906,T-shirt
01589 T-shirt unisex mblå k/æ,Alm.slid uden restværdi,1,2594,58,00D009AFD3A2,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.6806168080185043,T-shirt
01531 Overall Toyota Rød/Grå P/B,BTS fejl uden restværdi,1,2593,1,000098481296,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.011739298110296954,Overall
01531 Overall Toyota Rød/Grå P/B,BTS fejl uden restværdi,1,2593,1,000098481297,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.011739298110296954,Overall
02604 Jakke Hr Grå/Sort M Plast Pb,BTS fejl uden restværdi,1,2593,1,000098481298,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.011739298110296954,Jakke
02604 Jakke Hr Grå/Sort M Plast Pb,BTS fejl uden restværdi,1,2593,1,000098481301,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.011739298110296954,Jakke
02604 Jakke Hr Grå/Sort M Plast Pb,BTS fejl uden restværdi,1,2593,1,000098481302,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.011739298110296954,Jakke
02604 Jakke Hr Grå/Sort M Plast Pb,BTS fejl uden restværdi,1,2593,1,000098481303,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.011739298110296954,Jakke
04154 Ben Dame M/Skrål HV P/B,"Kass. af RETUR,MINIMU,afmeld",1,2593,26,00D00A29DF6F,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.3052217508677208,Andet
09501 Benklæder P/B Vask,BTS fejl uden restværdi,1,2593,1,000098481299,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.011739298110296954,Bukser
09501 Benklæder P/B Vask,BTS fejl uden restværdi,1,2593,1,000098481300,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.011739298110296954,Bukser
13761 Benkl Mannh grå/sort Unique,"Kass. af RETUR,MINIMU,afmeld",1,2592,55,30155C97D461A7C00031B6DE,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.6459104938271606,Bukser
13761 Benkl Mannh grå/sort Unique,"Kass. af RETUR,MINIMU,afmeld",1,2592,51,30155C97D461A7C001FC4759,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.5989351851851852,Bukser
11831 Overall Grå/Sort Dynamic P/B,Misligholdt med restværdi,1,2591,101,00D009BC3203,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1865843303743728,Overall
01895 Sweatshirt Bordeaux P/B,Alm.slid uden restværdi,1,2589,124,30155C97D461A7C000320809,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.457921977597528,Langærmet
22409 Benkl m/lom HK Scan hvid,Alm.slid uden restværdi,1,2589,155,00D00A388996,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.82240247199691,Bukser
01589 T-shirt unisex mblå k/æ,"Kass. af RETUR,MINIMU,afmeld",1,2586,12,00D009AC5F40,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.14125290023201856,T-shirt
01589 T-shirt unisex mblå k/æ,"Kass. af RETUR,MINIMU,afmeld",1,2586,13,00D009AD749F,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",0.15302397525135347,T-shirt
