Produkt - Produkt,Kassationsårsag (ui),Stk. tøj per kassationsdato,Dage i cirkulation,Total antal vask,Unik Kode (ui),Måned,Vask per måned,Kategori
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2654,104,00D00955B013,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1928259231348908,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2648,114,00D008FB7EC7,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3104833836858008,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2647,108,00D00951708D,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2419795995466567,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2631,92,00D0092773F5,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.064416571645762,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2627,90,00D009168E1B,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.04286258089075,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2607,96,00D009165B48,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.120920598388953,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2584,100,00D007BFF918,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1780185758513932,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,2583,97,00D00972C6CB,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1431204026325978,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2581,101,00D0095118F8,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1911817125145294,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2577,98,00D0095A5A22,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1575941016686069,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2570,103,00D009415229,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.219968871595331,T-shirt
