Produkt - Produkt,Kassationsårsag (ui),Stk. tøj per kassationsdato,Dage i cirkulation,Total antal vask,Unik Kode (ui),Kategori
11343 Sjælevarmer marine,Udgået Model,1,2966,2,00D009C1700F,Andet
11343 Sjælevarmer marine,Udgået Model,1,2966,5,00D009C28A78,Andet
09886 Kokkeja tryk k/æ bordeaux,Udgået Model,1,2925,147,00D009511EF4,Andet
22169 Kasket m/net grå,"Kass. af RETUR,MINIMU,afmeld",1,2911,2,000098449707,Andet
12761 Ben uni elastik og knp denim,Alm.slid uden restværdi,1,2886,94,00D0092E5031,Andet
22169 Kasket m/net grå,"Kass. af RETUR,MINIMU,afmeld",1,2883,6,000098449708,Andet
11343 Sjælevarmer marine,Udgået Model,1,2805,9,00D009C33744,Andet
22169 Kasket m/net grå,"Kass. af RETUR,MINIMU,afmeld",1,2803,24,000098470258,Andet
22169 Kasket m/net grå,"Kass. af RETUR,MINIMU,afmeld",1,2803,28,000098470259,Andet
22169 Kasket m/net grå,"Kass. af RETUR,MINIMU,afmeld",1,2803,48,000098470260,Andet
22169 Kasket m/net grå,"Kass. af RETUR,MINIMU,afmeld",1,2803,45,000098470261,Andet
04969 Vaskenet 50X70 Hvid M Fane,"Kass. af RETUR,MINIMU,afmeld",1,2758,1,000098479649,Andet
04969 Vaskenet 50X70 Hvid M Fane,"Kass. af RETUR,MINIMU,afmeld",1,2758,1,000098479650,Andet
13222 Softshell EN471 Rød/grå,Bortkommet med restværdi,1,2754,7,30155C97D461A7C000A88367,Andet
07821 Sort function soft shell,Udgået Model,1,2694,16,30155C97D461A7C00031C0B7,Andet
09273 Cardigan Navy M/Krave Esd,"Kass. af RETUR,MINIMU,afmeld",1,2690,1,000098483833,Andet
12612 Cardigan m/kontra uni mblå,"Kass. af RETUR,MINIMU,afmeld",1,2672,8,00D009C1B366,Andet
13346 Hue Visby mblå,Misligholdt med restværdi,1,2632,55,30155C97D461A7C0005BF9CF,Andet
04969 Vaskenet 50X70 Hvid M Fane,Alm.slid uden restværdi,1,2619,15,30155C97D461A7C0005BEB17,Andet
04969 Vaskenet 50X70 Hvid M Fane,Alm.slid uden restværdi,1,2619,7,30155C97D461A7C0005BEB96,Andet
04969 Vaskenet 50X70 Hvid M Fane,Alm.slid uden restværdi,1,2619,12,30155C97D461A7C0005BEBB9,Andet
12761 Ben uni elastik og knp denim,Alm.slid uden restværdi,1,2576,8,00D009C2CEC6,Andet
09104 Cardigan Vask,"Kass. af RETUR,MINIMU,afmeld",1,2457,3,000098506549,Andet
07821 Sort function soft shell,Udgået Model,1,2426,2,30155C97D461A7C0008B0FE7,Andet
10539 Arb.Vinterstøvle Nord XL S2HRO,BTS fejl uden restværdi,1,2417,2,00D00A565528,Andet
11552 Arb.sko Vinterst AlaskaXL S2,BTS fejl uden restværdi,1,2416,1,00D00A564DF2,Andet
22238 Strikbluse m V herre Scania,Bortkommet med restværdi,1,2390,27,30155C97D461A7C0004BC3F6,Andet
10243 Strikketrøje vask,"Kass. af RETUR,MINIMU,afmeld",1,2345,8,000098517050,Andet
13356 Kokkeja uni k/æ sort m stik,Misligholdt med restværdi,1,2302,104,00D00AB9260F,Andet
04154 Ben Dame M/Skrål HV P/B,Alm.slid uden restværdi,1,2273,111,30155C97D461A7C0000F57C6,Andet
